year,suicides_no,population,suicides/100k pop, gdp_for_year ($) ,gdp_per_capita ($),country_id,sex_id,age_id,generation_id
2015,4,34757,11.51,"57,784,495,265",107456,46,4243,9302,64805
2015,2,27768,7.2,"10,574,026,838",25750,40,4243,9302,64805
2015,14,96489,14.51,"11,692,287,066",10125,95,4243,9302,64805
2016,18,96372,18.68,"12,232,463,656",10570,95,4243,9302,64805
2015,1347,11676480,11.54,"1,169,622,672,463",10228,89,4243,9302,64805
2015,89,1058675,8.41,"757,999,453,314",47206,60,4243,9302,64805
2016,77,1067719,7.21,"777,227,541,581",48108,60,4243,9302,64805
2015,68,612707,11.1,"12,611,087,031",2303,47,4243,9302,64805
2015,43,345115,12.46,"386,663,139,403",79187,25,4243,9302,64805
2015,16,338328,4.73,"54,315,722,500",15158,11,4243,9302,64805
2015,440,2274111,19.35,"477,355,617,456",13228,85,4243,9302,64805
2015,13,277494,4.68,"164,641,483,516",69937,48,4243,9302,64805
2016,13,293525,4.43,"152,451,923,077",62484,48,4243,9302,64805
2015,123,1126484,10.92,"177,911,101,680",9431,86,4243,9302,64805
2016,91,1101638,8.26,"187,805,922,349",10020,86,4243,9302,64805
2015,27,400082,6.75,"37,160,332,465",5492,47,4243,9302,64805
2015,19,257780,7.37,"304,097,759,674",81766,32,4243,9302,64805
2015,14,103331,13.55,"43,072,415,017",22036,2,4243,9302,64805
2015,90,5190482,1.73,"317,741,039,198",6403,73,4243,9302,64805
2015,109,2287320,4.77,"1,197,789,902,774",27108,28,4243,9302,64805
2015,69,621210,11.11,"497,918,109,302",54629,1,4243,9302,64805
2016,70,605396,11.56,"514,459,972,806",55594,1,4243,9302,64805
2015,62,482708,12.84,"679,289,166,858",86068,67,4243,9302,64805
2015,317,4847684,6.54,"401,399,422,443",6552,48,4243,9302,64805
2016,322,4736305,6.8,"411,755,164,833",6713,48,4243,9302,64805
2015,207,6573627,3.15,"859,796,872,794",11961,58,4243,9302,64805
2015,31,515349,6.02,"35,799,628,571",7326,0,4243,9302,64805
2015,507,2408074,21.05,"91,030,959,455",2256,49,4243,9302,64805
2015,374,4151992,9.01,"2,885,570,309,161",47240,40,4243,9302,64805
2015,4359,22615073,19.27,"18,120,714,000,000",60387,87,4243,9302,64805
2015,74,264562,27.97,"53,274,304,222",16696,0,4243,9302,64805
2016,85,252851,33.62,"11,183,458,131",4145,5,4243,9302,64805
2015,153,3394201,4.51,"594,749,285,413",14981,82,6108,9302,64805
2015,3,212010,1.42,"10,553,337,673",3775,72,6108,9302,64805
2016,1,195422,0.51,"10,546,135,160",3788,72,6108,9302,64805
2015,110,1526305,7.21,"1,349,034,029,453",60656,16,6108,9302,64805
2015,19,490742,3.87,"382,065,930,308",46484,90,6108,9302,64805
2016,22,488020,4.51,"390,799,991,147",46976,90,6108,9302,64805
2015,21,649587,3.23,"455,039,563,133",42830,79,6108,9302,64805
2015,397,17047218,2.33,"1,802,214,373,741",9431,84,6108,9302,64805
2015,64,1343941,4.76,"243,999,477,738",14729,23,6108,9302,64805
2015,176,4070390,4.32,"291,519,591,533",6552,46,6108,9302,64805
2015,6,236301,2.54,"49,425,513,611",12351,97,6108,9302,64805
2016,6,231038,2.6,"51,338,524,831",12905,97,6108,9302,64805
2015,1,58123,1.72,"19,676,167,240",24718,75,6108,9302,64805
2016,0,58057,0.0,"20,153,871,681",25098,75,6108,9302,64805
2015,19,521060,3.65,"186,829,940,546",18703,43,6108,9302,64805
2016,22,502574,4.38,"195,305,084,919",19505,43,6108,9302,64805
2015,6,356882,1.68,"301,298,464,861",55972,8,6108,9302,64805
2015,110,1448112,7.6,"99,290,381,000",6832,74,6108,9302,64805
2015,1,66216,1.51,"22,566,956,982",18149,98,6108,9302,64805
2015,12,317937,3.77,"232,464,833,066",44862,43,6108,9302,64805
2015,2,230200,0.87,"13,993,546,732",4046,46,6108,9302,64805
2015,136,4195185,3.24,"3,375,611,100,742",43201,65,6108,9302,64805
2015,3,541528,0.55,"195,541,761,243",18927,98,6108,9302,64805
